colour_id (int),red (smallint),green (smallint),blue (smallint),permission_id FK (tinyint(1)),name (tinytext)
0,0,0,0,0,grey000
1,1,1,1,0,grey001
2,2,2,2,0,grey002
3,3,3,3,0,grey003
4,4,4,4,0,grey004
5,5,5,5,0,grey005
6,6,6,6,0,grey006
7,7,7,7,0,grey007
8,8,8,8,0,grey008
9,9,9,9,0,grey009
10,10,10,10,0,grey010
11,11,11,11,0,grey011
12,12,12,12,0,grey012
13,13,13,13,0,grey013
14,14,14,14,0,grey014
15,15,15,15,0,grey015
16,16,16,16,0,grey016
17,17,17,17,0,grey017
18,18,18,18,0,grey018
19,19,19,19,0,grey019
20,20,20,20,0,grey020
21,21,21,21,0,grey021
22,22,22,22,0,grey022
23,23,23,23,0,grey023
24,24,24,24,0,grey024
25,25,25,25,0,grey025
26,26,26,26,0,grey026
27,27,27,27,0,grey027
28,28,28,28,0,grey028
29,29,29,29,0,grey029
30,30,30,30,0,grey030
31,31,31,31,0,grey031
32,32,32,32,0,grey032
33,33,33,33,0,grey033
34,34,34,34,0,grey034
35,35,35,35,0,grey035
36,36,36,36,0,grey036
37,37,37,37,0,grey037
38,38,38,38,0,grey038
39,39,39,39,0,grey039
40,40,40,40,0,grey040
41,41,41,41,0,grey041
42,42,42,42,0,grey042
43,43,43,43,0,grey043
44,44,44,44,0,grey044
45,45,45,45,0,grey045
46,46,46,46,0,grey046
47,47,47,47,0,grey047
48,48,48,48,0,grey048
49,49,49,49,0,grey049
50,50,50,50,0,grey050
51,51,51,51,0,grey051
52,52,52,52,0,grey052
53,53,53,53,0,grey053
54,54,54,54,0,grey054
55,55,55,55,0,grey055
56,56,56,56,0,grey056
57,57,57,57,0,grey057
58,58,58,58,0,grey058
59,59,59,59,0,grey059
60,60,60,60,0,grey060
61,61,61,61,0,grey061
62,62,62,62,0,grey062
63,63,63,63,0,grey063
64,64,64,64,0,grey064
65,65,65,65,0,grey065
66,66,66,66,0,grey066
67,67,67,67,0,grey067
68,68,68,68,0,grey068
69,69,69,69,0,grey069
70,70,70,70,0,grey070
71,71,71,71,0,grey071
72,72,72,72,0,grey072
73,73,73,73,0,grey073
74,74,74,74,0,grey074
75,75,75,75,0,grey075
76,76,76,76,0,grey076
77,77,77,77,0,grey077
78,78,78,78,0,grey078
79,79,79,79,0,grey079
80,80,80,80,0,grey080
81,81,81,81,0,grey081
82,82,82,82,0,grey082
83,83,83,83,0,grey083
84,84,84,84,0,grey084
85,85,85,85,0,grey085
86,86,86,86,0,grey086
87,87,87,87,0,grey087
88,88,88,88,0,grey088
89,89,89,89,0,grey089
90,90,90,90,0,grey090
91,91,91,91,0,grey091
92,92,92,92,0,grey092
93,93,93,93,0,grey093
94,94,94,94,0,grey094
95,95,95,95,0,grey095
96,96,96,96,0,grey096
97,97,97,97,0,grey097
98,98,98,98,0,grey098
99,99,99,99,0,grey099
100,100,100,100,0,grey100
101,101,101,101,0,grey101
102,102,102,102,0,grey102
103,103,103,103,0,grey103
104,104,104,104,0,grey104
105,105,105,105,0,grey105
106,106,106,106,0,grey106
107,107,107,107,0,grey107
108,108,108,108,0,grey108
109,109,109,109,0,grey109
110,110,110,110,0,grey110
111,111,111,111,0,grey111
112,112,112,112,0,grey112
113,113,113,113,0,grey113
114,114,114,114,0,grey114
115,115,115,115,0,grey115
116,116,116,116,0,grey116
117,117,117,117,0,grey117
118,118,118,118,0,grey118
119,119,119,119,0,grey119
120,120,120,120,0,grey120
121,121,121,121,0,grey121
122,122,122,122,0,grey122
123,123,123,123,0,grey123
124,124,124,124,0,grey124
125,125,125,125,0,grey125
126,126,126,126,0,grey126
127,127,127,127,0,grey127
128,128,128,128,0,grey128
129,129,129,129,0,grey129
130,130,130,130,0,grey130
131,131,131,131,0,grey131
132,132,132,132,0,grey132
133,133,133,133,0,grey133
134,134,134,134,0,grey134
135,135,135,135,0,grey135
136,136,136,136,0,grey136
137,137,137,137,0,grey137
138,138,138,138,0,grey138
139,139,139,139,0,grey139
140,140,140,140,0,grey140
141,141,141,141,0,grey141
142,142,142,142,0,grey142
143,143,143,143,0,grey143
144,144,144,144,0,grey144
145,145,145,145,0,grey145
146,146,146,146,0,grey146
147,147,147,147,0,grey147
148,148,148,148,0,grey148
149,149,149,149,0,grey149
150,150,150,150,0,grey150
151,151,151,151,0,grey151
152,152,152,152,0,grey152
153,153,153,153,0,grey153
154,154,154,154,0,grey154
155,155,155,155,0,grey155
156,156,156,156,0,grey156
157,157,157,157,0,grey157
158,158,158,158,0,grey158
159,159,159,159,0,grey159
160,160,160,160,0,grey160
161,161,161,161,0,grey161
162,162,162,162,0,grey162
163,163,163,163,0,grey163
164,164,164,164,0,grey164
165,165,165,165,0,grey165
166,166,166,166,0,grey166
167,167,167,167,0,grey167
168,168,168,168,0,grey168
169,169,169,169,0,grey169
170,170,170,170,0,grey170
171,171,171,171,0,grey171
172,172,172,172,0,grey172
173,173,173,173,0,grey173
174,174,174,174,0,grey174
175,175,175,175,0,grey175
176,176,176,176,0,grey176
177,177,177,177,0,grey177
178,178,178,178,0,grey178
179,179,179,179,0,grey179
180,180,180,180,0,grey180
181,181,181,181,0,grey181
182,182,182,182,0,grey182
183,183,183,183,0,grey183
184,184,184,184,0,grey184
185,185,185,185,0,grey185
186,186,186,186,0,grey186
187,187,187,187,0,grey187
188,188,188,188,0,grey188
189,189,189,189,0,grey189
190,190,190,190,0,grey190
191,191,191,191,0,grey191
192,192,192,192,0,grey192
193,193,193,193,0,grey193
194,194,194,194,0,grey194
195,195,195,195,0,grey195
196,196,196,196,0,grey196
197,197,197,197,0,grey197
198,198,198,198,0,grey198
199,199,199,199,0,grey199
200,200,200,200,0,grey200
201,201,201,201,0,grey201
202,202,202,202,0,grey202
203,203,203,203,0,grey203
204,204,204,204,0,grey204
205,205,205,205,0,grey205
206,206,206,206,0,grey206
207,207,207,207,0,grey207
208,208,208,208,0,grey208
209,209,209,209,0,grey209
210,210,210,210,0,grey210
211,211,211,211,0,grey211
212,212,212,212,0,grey212
213,213,213,213,0,grey213
214,214,214,214,0,grey214
215,215,215,215,0,grey215
216,216,216,216,0,grey216
217,217,217,217,0,grey217
218,218,218,218,0,grey218
219,219,219,219,0,grey219
220,220,220,220,0,grey220
221,221,221,221,0,grey221
222,222,222,222,0,grey222
223,223,223,223,0,grey223
224,224,224,224,0,grey224
225,225,225,225,0,grey225
226,226,226,226,0,grey226
227,227,227,227,0,grey227
228,228,228,228,0,grey228
229,229,229,229,0,grey229
230,230,230,230,0,grey230
231,231,231,231,0,grey231
232,232,232,232,0,grey232
233,233,233,233,0,grey233
234,234,234,234,0,grey234
235,235,235,235,0,grey235
236,236,236,236,0,grey236
237,237,237,237,0,grey237
238,238,238,238,0,grey238
239,239,239,239,0,grey239
240,240,240,240,0,grey240
241,241,241,241,0,grey241
242,242,242,242,0,grey242
243,243,243,243,0,grey243
244,244,244,244,0,grey244
245,245,245,245,0,grey245
246,246,246,246,0,grey246
247,247,247,247,0,grey247
248,248,248,248,0,grey248
249,249,249,249,0,grey249
250,250,250,250,0,grey250
251,251,251,251,0,grey251
252,252,252,252,0,grey252
253,253,253,253,0,grey253
254,254,254,254,0,grey254
255,255,255,255,0,grey255